title,price,year,mileage
Certified Used 2020 Chevrolet Trax LT,15258,2020,51908
Used 2020 Subaru Outback Premium,19497,2020,72829
Used 2017 Buick Encore Premium,14497,2017,55089
Used 2024 Honda Civic LX,20750,2024,63687
Certified Used 2022 Nissan Sentra SV,18999,2022,9262
Used 2018 Chevrolet Silverado 1500 LT LT1,16499,2018,153298
Used 2024 Jeep Compass Limited Edition,26900,2024,4094
Certified Used 2023 Nissan Rogue Platinum,26766,2023,42104
Used 2024 Jeep Compass Limited Edition,26900,2024,7701
Certified Used 2023 Porsche Panamera Turbo S Sport Turismo,144497,2023,35679
Used 2017 GMC Canyon SLE,12495,2017,149520
Used 2022 Jeep Compass Limited Edition,23800,2022,20000
Used 2024 Toyota Highlander XLE,41962,2024,11940
Certified Used 2025 Kia Carnival SX,43200,2025,10189
Used 2023 Cadillac XT5 Luxury,20497,2023,141909
Certified Used 2024 Volkswagen Atlas SE w/Technology,35495,2024,13606
Certified Used 2025 Kia Telluride EX X-Line,44987,2025,1556
Certified Used 2022 Nissan Rogue S,22789,2022,14220
Certified Used 2023 Nissan Rogue SV,25985,2023,3671
Used 2024 Jeep Compass Limited Edition,26900,2024,4108
Used 2023 Mercedes-Benz GLC 43 AMG Coupe,53497,2023,28912
Used 2022 Chevrolet Silverado 1500 LTZ,43875,2022,21929
Used 2024 Infiniti QX50 Sport,37959,2024,3774
Used 2019 Jeep Wrangler Sport,19895,2019,108438
